splimage,splshape_text,splimprint,splcolor_text
498840129,PENTAGON (5 SIDED),par;129,GREEN
625840975,CAPSULE,R;2577,BLUE
00228-2855-11_NLMIMAGE10_0B4085F4,OVAL,855,YELLOW
637390375,CAPSULE,R2666,YELLOW;BROWN
634810025,ROUND,E;2;5,WHITE
42794-0019-02_NLMIMAGE10_BC40DE26,ROUND,19,WHITE
50844-0249-33_NLMIMAGE10_C235E11F,ROUND,ASPIRIN;44;249,WHITE
534890678,OVAL,AR;788,WHITE
00093-7432-98_NLMIMAGE10_EB4375EB,ROUND,7432;TV,PINK
646790905,ROUND,W;905,WHITE
646790782,ROUND,W782,BROWN
604290572,OVAL,M365,WHITE
00143-1300-01_48162421,ROUND,WW;300,WHITE
00002-3239-30_3F1E1F80,CAPSULE,LILLY;3239;60;mg,BLUE;YELLOW
16714-0355-01_NLMIMAGE10_D2446943,OVAL,E;11,YELLOW
00093-5740-65_NLMIMAGE10_F743FBFF,OVAL,25;mg,YELLOW
540920387,CAPSULE,ADDERALL;XR;20;mg,ORANGE
16729-0168-01_NLMIMAGE10_F946FCE7,ROUND,5,WHITE
633040502,OVAL,CDT;252,WHITE
683820095,ROUND,ZC42,WHITE
64720-0124-10_6007B00D,ROUND,cor;124,YELLOW
60258-0162-01_910EC886,CAPSULE,C;162,BLACK
90df2bf2-aceb-2ae6-e053-2995a90ae2e0,OVAL,U;287,YELLOW
605050271,ROUND,APO;MOE;7;5,WHITE
687520090,CAPSULE,TCL;1223,YELLOW;GREEN
422910610,CAPSULE,IP;178,WHITE
55111-0398-30_B80EDC06,CAPSULE,RDY;LAN,PINK;GREEN
433530391,OVAL,IP;466,WHITE
675440224,CAPSULE,KU;119;,WHITE
687520065,CAPSULE,TCL;1222,YELLOW;BLUE
604290272,CAPSULE,93;7120,BROWN
422910894,ROUND,IP;303,ORANGE
00093-0537-01_942B4A7A,OVAL,93;537,WHITE
5_mg_Donepezil_HCl_Tablet,ROUND,I;24,WHITE
AUR00880,ROUND,U41,WHITE
10_mg_Donepezil_HCl_Tablet,ROUND,I;21,YELLOW
250_mg_Divalproex_Sodium_Tablet,CAPSULE,ZA47,WHITE
683820069,CAPSULE,ZA23,WHITE
49702-0210-17-splimage30-a618d326,OVAL,RESCRIPTOR;200;mg,WHITE
317220218,CAPSULE,I;G;318,WHITE
16729-0184-17_NLMIMAGE10_473B23D9,ROUND,H;3,ORANGE
